State,Average Solar Irradiance
Ladakh,1763.4756
Arunachal Pradesh,1268.0714
Sikkim,1390.5199
West Bengal,1708.7861
Assam,1579.6229
Uttarakhand,1705.9065
Nagaland,1545.7325
Manipur,1624.7524
Mizoram,1719.7963
Tripura,1683.6123
Meghalaya,1588.5767
Punjab,1746.1819
Rajasthan,1964.2618
Gujarat,2011.2947
Himachal Pradesh,1670.4303
Jammu and Kashmir,1627.8888
Bihar,1725.7883
Uttar Pradesh,1776.0397
Andhra Pradesh,1914.0562
Odisha,1838.8037
Dadra and Nagar Haveli and Daman and Diu,1919.573
Maharashtra,1931.9152
Goa,1892.8881
Karnataka,1953.4225
Kerala,1840.7761
Puducherry,1966.7349
Tamil Nadu,1961.6547
Lakshadweep,
Andaman and Nicobar,1801.7598
Jharkhand,1829.4275
Delhi,1726.3512
Chandigarh,1717.5679
Madhya Pradesh,1909.8112
Chhattisgarh,1894.2827
Haryana,1771.4841
Telangana,1937.9529
